zip檔名	拍數	累積拍數	經名	山圖號
0001-042宇02		1300	大般若波羅蜜多經六百卷（042）	11729811
0001-043宇03	34	1334	大般若波羅蜜多經六百卷（043）	11729911
0001-044宇04		1334	大般若波羅蜜多經六百卷（044）	11730011
0001-045宇05	37	1371	大般若波羅蜜多經六百卷（045）	11730111
0001-046宇06		1371	大般若波羅蜜多經六百卷（046）	11730211
0001-047宇07	34	1405	大般若波羅蜜多經六百卷（047）	11730311
0001-048宇08		1405	大般若波羅蜜多經六百卷（048）	11730411
0001-049宇09		1405	大般若波羅蜜多經六百卷（049）	11730511
0001-050宇10		1405	大般若波羅蜜多經六百卷（050）	11730611
0001-051宙01	33	1438	大般若波羅蜜多經六百卷（051）	11730711
0001-052宙02	37	1475	大般若波羅蜜多經六百卷（052）	11730811
0001-053宙03	36	1511	大般若波羅蜜多經六百卷（053）	11730911
0001-054宙04	35	1546	大般若波羅蜜多經六百卷（054）	11731011
0001-055宙05	37	1583	大般若波羅蜜多經六百卷（055）	11731111
0001-056宙06	35	1618	大般若波羅蜜多經六百卷（056）	11731211
0001-057宙07	34	1652	大般若波羅蜜多經六百卷（057）	11731311
0001-058宙08	32	1684	大般若波羅蜜多經六百卷（058）	11731411
0001-059宙09	33	1717	大般若波羅蜜多經六百卷（059）	11731511
0001-060宙10	35	1752	大般若波羅蜜多經六百卷（060）	11731611
0001-061洪01	36	1788	大般若波羅蜜多經六百卷（061）	11731711
0001-062洪02	32	1820	大般若波羅蜜多經六百卷（062）	11731811
0001-063洪03	33	1853	大般若波羅蜜多經六百卷（063）	11731911
0001-064洪04	33	1886	大般若波羅蜜多經六百卷（064）	11732011
0001-065洪05	37	1923	大般若波羅蜜多經六百卷（065）	11732111
0001-066洪06	34	1957	大般若波羅蜜多經六百卷（066）	11732211
0001-067洪07		1957	大般若波羅蜜多經六百卷（067）	11732311
0001-068洪08	33	1990	大般若波羅蜜多經六百卷（068）	11732411
0001-069洪09	34	2024	大般若波羅蜜多經六百卷（069）	11732511
0001-070洪10		2024	大般若波羅蜜多經六百卷（070）	11732611
0001-071荒01	37	2061	大般若波羅蜜多經六百卷（071）	11732711
0001-072荒02	30	2091	大般若波羅蜜多經六百卷（072）	11732811
0001-073荒03		2091	大般若波羅蜜多經六百卷（073）	11732911
0001-074荒04	35	2126	大般若波羅蜜多經六百卷（074）	11733011
0001-075荒05	32	2158	大般若波羅蜜多經六百卷（075）	11733111
0001-076荒06	28	2186	大般若波羅蜜多經六百卷（076）	11733211
0001-077荒07		2186	大般若波羅蜜多經六百卷（077）	11733311
0001-078荒08	32	2218	大般若波羅蜜多經六百卷（078）	11733411
0001-079荒09	33	2251	大般若波羅蜜多經六百卷（079）	11733511
0001-080荒10	34	2285	大般若波羅蜜多經六百卷（080）	11733611
0001-081日01	35	2320	大般若波羅蜜多經六百卷（081）	11733711
0001-082日02		2320	大般若波羅蜜多經六百卷（082）	11733811
0001-083日03		2320	大般若波羅蜜多經六百卷（083）	11733911
0001-084日04		2320	大般若波羅蜜多經六百卷（084）	11734011
0001-085日05	32	2352	大般若波羅蜜多經六百卷（085）	11734111
0001-086日06	33	2385	大般若波羅蜜多經六百卷（086）	11734211
0001-087日07		2385	大般若波羅蜜多經六百卷（087）	11734311
0001-088日08	32	2417	大般若波羅蜜多經六百卷（088）	11734411
0001-089日09	34	2451	大般若波羅蜜多經六百卷（089）	11734511
0001-090日10	33	2484	大般若波羅蜜多經六百卷（090）	11734611
0001-091月01	37	2521	大般若波羅蜜多經六百卷（091）	11734711
0001-092月02	33	2554	大般若波羅蜜多經六百卷（092）	11734811
0001-093月03	32	2586	大般若波羅蜜多經六百卷（093）	11734911
0001-094月04	32	2618	大般若波羅蜜多經六百卷（094）	11735011
0001-095月05	31	2649	大般若波羅蜜多經六百卷（095）	11735111
0001-096月06	32	2681	大般若波羅蜜多經六百卷（096）	11735211
0001-097月07	33	2714	大般若波羅蜜多經六百卷（097）	11735311
0001-098月08	33	2747	大般若波羅蜜多經六百卷（098）	11735411
0001-099月09	35	2782	大般若波羅蜜多經六百卷（099）	11735511
0001-100月10		2782	大般若波羅蜜多經六百卷（100）	11735611
0001-101盈01	33	2815	大般若波羅蜜多經六百卷（101）	11735711
0001-102盈02	32	2847	大般若波羅蜜多經六百卷（102）	11735811
0001-103盈03	31	2878	大般若波羅蜜多經六百卷（103）	11735911
0001-104盈04	31	2909	大般若波羅蜜多經六百卷（104）	11736011
0001-105盈05	32	2941	大般若波羅蜜多經六百卷（105）	11736111
0001-106盈06	32	2973	大般若波羅蜜多經六百卷（106）	11736211
0001-107盈07	32	3005	大般若波羅蜜多經六百卷（107）	11736311
0001-108盈08	31	3036	大般若波羅蜜多經六百卷（108）	11736411
0001-109盈09	31	3067	大般若波羅蜜多經六百卷（109）	11736511
0001-110盈10	35	3102	大般若波羅蜜多經六百卷（110）	11736611
0001-111昃01	34	3136	大般若波羅蜜多經六百卷（111）	11736711
0001-112昃02		3136	大般若波羅蜜多經六百卷（112）	11736811
0001-113昃03	31	3167	大般若波羅蜜多經六百卷（113）	11736911
0001-114昃04		3167	大般若波羅蜜多經六百卷（114）	11737011
0001-115昃05	32	3199	大般若波羅蜜多經六百卷（115）	11737111
0001-116昃06		3199	大般若波羅蜜多經六百卷（116）	11737211
0001-117昃07	32	3231	大般若波羅蜜多經六百卷（117）	11737311
0001-118昃08		3231	大般若波羅蜜多經六百卷（118）	11737411
0001-119昃09		3231	大般若波羅蜜多經六百卷（119）	11737511
0001-120昃10	34	3265	大般若波羅蜜多經六百卷（120）	11737611
0001-121辰01	35	3300	大般若波羅蜜多經六百卷（121）	11737711
0001-122辰02	33	3333	大般若波羅蜜多經六百卷（122）	11737811
0001-123辰03	34	3367	大般若波羅蜜多經六百卷（123）	11737911
0001-124辰04		3367	大般若波羅蜜多經六百卷（124）	11738011
0001-125辰05	33	3400	大般若波羅蜜多經六百卷（125）	11738111
0001-126辰06		3400	大般若波羅蜜多經六百卷（126）	11738211
0001-127辰07	34	3434	大般若波羅蜜多經六百卷（127）	11738311
0001-128辰08		3434	大般若波羅蜜多經六百卷（128）	11738411
0001-129辰09	31	3465	大般若波羅蜜多經六百卷（129）	11738511
0001-130辰10	32	3497	大般若波羅蜜多經六百卷（130）	11738611
0001-131宿01	32	3529	大般若波羅蜜多經六百卷（131）	11738711
0001-132宿02	33	3562	大般若波羅蜜多經六百卷（132）	11738811
0001-133宿03	28	3590	大般若波羅蜜多經六百卷（133）	11738911
0001-134宿04	31	3621	大般若波羅蜜多經六百卷（134）	11739011
0001-135宿05	30	3651	大般若波羅蜜多經六百卷（135）	11739111
0001-136宿06	31	3682	大般若波羅蜜多經六百卷（136）	11739211
0001-137宿07	31	3713	大般若波羅蜜多經六百卷（137）	11739311
0001-138宿08	30	3743	大般若波羅蜜多經六百卷（138）	11739411
0001-139宿09	30	3773	大般若波羅蜜多經六百卷（139）	11739511
0001-140宿10	31	3804	大般若波羅蜜多經六百卷（140）	11739611
0001-141列01	32	3836	大般若波羅蜜多經六百卷（141）	11739711
